assetType,assetId,name,dateUpdated,contentSource,dateCreated,fileSize,gsisId,mCPID,dateTimeString,playId,originalFilename,assetOwner,dCLAssetType,aWSStatus,categories,contentType,dateUploadedToAWS,deliveredToMCP,gameID,timeCreated,season,arvatoAssetId,week,weekType,homeTeam,visitorTeam,closedCaptionAsset,cCFile,containsCC
video,5496376,58742_316_NO  3-3  NO 23_Sideline,2023-02-14T14:59:54,NFL League Office,2021-12-27T17:33:08,15102879,58742,1295084,2021-12-27T20:25:09.000-05:00,316,058742_000316_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5496377,58742_316_NO  3-3  NO 23_Endzone,2023-02-14T14:59:55,NFL League Office,2021-12-27T17:33:08,15036959,58742,1295345,2021-12-27T20:25:09.000-05:00,316,058742_000316_0004_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5496374,58742_316_NO  3-3  NO 23_Broadcast,2023-02-14T14:59:53,NFL League Office,2021-12-27T17:33:07,28418707,58742,1295171,2021-12-27T20:25:09.000-05:00,316,058742_000316_0001_000_15000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497546,58742_3161_NO  4-1  NO 38_Sideline,2023-02-14T15:11:19,NFL League Office,2021-12-27T20:13:50,14022759,58742,1295401,2021-12-27T22:38:41.000-05:00,3161,058742_003161_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497550,58742_3161_NO  4-1  NO 38_Endzone,2023-02-14T15:11:20,NFL League Office,2021-12-27T20:13:51,13935500,58742,1295227,2021-12-27T22:38:41.000-05:00,3161,058742_003161_0004_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497548,58742_3161_NO  4-1  NO 38_Broadcast,2023-02-14T15:11:18,NFL League Office,2021-12-27T20:13:50,26541975,58742,1295226,2021-12-27T22:38:41.000-05:00,3161,058742_003161_0001_000_15000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497542,58742_3137_NO  3-5  NO 34_Sideline,2023-02-14T15:11:16,NFL League Office,2021-12-27T20:13:07,14118016,58742,1295317,2021-12-27T22:38:02.000-05:00,3137,058742_003137_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497544,58742_3137_NO  3-5  NO 34_Endzone,2023-02-14T15:11:17,NFL League Office,2021-12-27T20:13:42,14065371,58742,1295056,2021-12-27T22:38:02.000-05:00,3137,058742_003137_0004_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497540,58742_3137_NO  3-5  NO 34_Broadcast,2023-02-14T15:11:15,NFL League Office,2021-12-27T20:13:06,26478455,58742,1295143,2021-12-27T22:38:02.000-05:00,3137,058742_003137_0001_000_15000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
video,5497536,58742_3091_NO  2-6  NO 33_Sideline,2023-02-14T15:11:13,NFL League Office,2021-12-27T20:13:02,12151523,58742,1295220,2021-12-27T22:35:01.000-05:00,3091,058742_003091_0003_000_08000.mp4,,All 22,,,Timeline,,true,c5987819-b37c-11eb-8116-e420dc2f1097,,2021,,16,Regular Season,Saints,Dolphins,,,false
